id,type,value,parent_id,indelible
'83e1a317-978c-475e-8675-bfabd3011506','ALLOWED_USING_TYPE','Животноводство',null,null
'87499c7a-32e3-4973-b7af-8577d4480cf8','ALLOWED_USING_TYPE','Скотоводство',null,null
'b0e2c9f5-19ba-495f-99ae-590a6910d3cc','ALLOWED_USING_TYPE','Звероводство',null,null
'4029c34a-8803-4a70-b024-62c9a604e682','ALLOWED_USING_TYPE','Птицеводство',null,null
'936bc242-5387-4031-ac1a-a1850ab1917e','ALLOWED_USING_TYPE','Свиноводство',null,null
'cb530682-0520-44ae-b012-e669766e13d1','ALLOWED_USING_TYPE','Пчеловодство',null,null
'de26751f-81b9-4cc6-8d8c-ff3d98c45125','ALLOWED_USING_TYPE','Рыбоводство',null,null
'b65b1cc0-9664-41b3-915c-cb5b633e302a','ALLOWED_USING_TYPE','Научное обеспечение сельского хозяйства',null,null
'9c24562e-70bb-4109-b680-34d54d7bd4c8','ALLOWED_USING_TYPE','Хранение и переработка сельскохозяйственной продукции',null,null
'00c776fb-a33c-4381-9d5c-32bfbd4d3db6','ALLOWED_USING_TYPE','Ведение личного подсобного хозяйства на полевых участках',null,null
'dd1dadeb-d8c4-404f-8d6e-22cc21916b16','ALLOWED_USING_TYPE','Питомники',null,null
'174b65c9-5d15-4e23-bca3-b85f416dcab8','ALLOWED_USING_TYPE','Обеспечение сельскохозяйственного производства',null,null
'1e627ecd-b340-4b65-beee-2c50cbe240d6','ALLOWED_USING_TYPE','Сенокошение',null,null
'8d0d579d-5bb1-450c-a852-4c0ad7391b1f','ALLOWED_USING_TYPE','Выпас сельскохозяйственных животных',null,null
'3f126c6f-1822-4673-a8c7-1c60fa2e8863','ALLOWED_USING_TYPE','Жилая застройка',null,null
'a304ad52-ee60-4859-b234-7133bfbd6a1e','ALLOWED_USING_TYPE','Для индивидуального жилищного строительства',null,null
'9cb0a4b8-87bf-450c-8557-3a21f88e9764','ALLOWED_USING_TYPE','Малоэтажная многоквартирная жилая застройка',null,null
'0faadc33-73d7-4aeb-99f7-273ec4318682','ALLOWED_USING_TYPE','Для ведения личного подсобного хозяйства (приусадебный земельный участок)',null,null
'2d3a649c-c524-4668-afc4-9a60cd399e2d','ALLOWED_USING_TYPE','Блокированная жилая застройка',null,null
'34257943-3b2e-442e-af85-00dfbfe3e3f4','ALLOWED_USING_TYPE','Передвижное жилье',null,null
'c5761862-2d9a-457b-9d13-0d88360e44f1','ALLOWED_USING_TYPE','Среднеэтажная жилая застройка',null,null
'17b36849-6114-44b2-81a2-51a9b977813f','ALLOWED_USING_TYPE','Многоэтажная жилая застройка (высотная застройка)',null,null
'4dd947f7-6343-4bec-b2a3-96c4e2426bd3','ALLOWED_USING_TYPE','Обслуживание жилой застройки',null,null
'cbbf1632-2441-4beb-9ad5-a8f4cd38381d','ALLOWED_USING_TYPE','Хранение автотранспорта',null,null
'1c5998df-f031-4c14-aade-00ef46db8da1','ALLOWED_USING_TYPE','Общественное использование объектов капитального строительства',null,null
'5980e064-9234-4429-8e06-ac4fd3cf9a2e','ALLOWED_USING_TYPE','Коммунальное обслуживание',null,null
'07156986-85a1-451a-8ae2-d7796cd5769f','ALLOWED_USING_TYPE','Предоставление коммунальных услуг',null,null
