id,type,value,parent_id
'2e9f86a0-3503-47e5-9d3d-4bd017e2585f','REGION','Москва г','389ab3a9-4008-4fea-905b-44f268a2cb71'
'0eed5824-ea12-4bef-93f5-c7baa8e19919','REGION','Московская обл','389ab3a9-4008-4fea-905b-44f268a2cb71'
'58fb2e35-7a5c-46b9-b91f-63fed4c0cadf','REGION','Мурманская обл','b49b90f7-ded0-4d5e-956f-ac9aad03bac3'
'55557bb4-061f-4dc8-8ec7-6c9a0721dcc3','REGION','Ненецкий АО','b49b90f7-ded0-4d5e-956f-ac9aad03bac3'
'4b4e2331-5a9c-4394-8bc6-337bf4d43e38','REGION','Нижегородская обл','36ae5955-8f9d-402a-9057-e5424996d38b'
'88100d23-3955-4ddf-8e35-4950c77e5052','REGION','Новгородская обл','b49b90f7-ded0-4d5e-956f-ac9aad03bac3'
'e06bb7b6-959a-43bb-9c57-75a44b2b3453','REGION','Новосибирская обл','36c63f1e-a134-4c20-b467-d43297931878'
'42d5c50d-2aa8-487d-9b2c-6facd47b5547','REGION','Омская обл','36c63f1e-a134-4c20-b467-d43297931878'
'd041bf45-f383-4218-b41c-fab5ec4dff48','REGION','Оренбургская обл','36ae5955-8f9d-402a-9057-e5424996d38b'
'5b466476-242c-4891-b982-a06c6f5f095c','REGION','Орловская обл','389ab3a9-4008-4fea-905b-44f268a2cb71'
'c9d61b44-e684-4ae7-8558-356be96011f3','REGION','Пензенская обл','36ae5955-8f9d-402a-9057-e5424996d38b'
'4cd2b506-14b0-4fb0-b517-5a95adf957cd','REGION','Пермский край','36ae5955-8f9d-402a-9057-e5424996d38b'
'2c308a6c-df37-44fe-8d0c-e22d0d3a7f45','REGION','Приморский край','33819f98-74f9-4088-a668-6f6b787bdbb3'
'03d74434-ac48-4aed-a151-25fdbf49269d','REGION','Псковская обл','b49b90f7-ded0-4d5e-956f-ac9aad03bac3'
'b3e92d7b-a61a-4048-b4a8-7fe975a34144','REGION','Ростовская обл','00c9136f-9309-4b1e-a196-b556c31662af'
'032800a8-d95b-45cc-a723-db3be47ba7aa','REGION','Рязанская обл','389ab3a9-4008-4fea-905b-44f268a2cb71'
'c86143f3-c739-47b3-8327-e0b98804a902','REGION','Самарская обл','36ae5955-8f9d-402a-9057-e5424996d38b'
'2d4b4378-3162-4c19-9cb3-1007a04d5671','REGION','Санкт-Петербург г','b49b90f7-ded0-4d5e-956f-ac9aad03bac3'
'636e47ee-936a-4a16-b067-763adaa48264','REGION','Саратовская обл','36ae5955-8f9d-402a-9057-e5424996d38b'
'c66a4461-ea71-4cbb-ad8c-07eebdb9a751','REGION','Саха /Якутия/ Респ','33819f98-74f9-4088-a668-6f6b787bdbb3'
'65d5a12e-61f7-4f3c-b547-082e2aa5a105','REGION','Сахалинская обл','33819f98-74f9-4088-a668-6f6b787bdbb3'
'f2952003-1103-4c69-b75a-c932a70311dd','REGION','Свердловская обл','36b99bed-40a4-439c-b2a0-2a503fdf4674'
'e17a3746-db91-4229-ae96-662950ce75b1','REGION','Северная Осетия - Алания Респ','ea5fed0f-4546-4d72-9337-b9878fd164e6'
'ee92ab27-5930-4cef-9d2e-5b6bed028e84','REGION','Смоленская обл','389ab3a9-4008-4fea-905b-44f268a2cb71'
'd8c635d9-bc1b-4b97-8af2-91e4a0738ed2','REGION','Ставропольский край','ea5fed0f-4546-4d72-9337-b9878fd164e6'
'4eb1e12e-95a8-43df-9c3c-a6326d96ffae','REGION','Тамбовская обл','389ab3a9-4008-4fea-905b-44f268a2cb71'
'5681a12a-d099-46ab-bc52-c8252c411aa0','REGION','Татарстан Респ','36ae5955-8f9d-402a-9057-e5424996d38b'
'91c2b62a-8721-4af7-bd7b-a29bd3bb3f02','REGION','Тверская обл','389ab3a9-4008-4fea-905b-44f268a2cb71'
'b6069c6a-239a-4c30-bf2f-1a7007bef455','REGION','Томская обл','36c63f1e-a134-4c20-b467-d43297931878'
'e15712fb-0ab9-4fe5-b095-5277542fcefe','REGION','Тульская обл','389ab3a9-4008-4fea-905b-44f268a2cb71'
'818cd676-ca8c-4f95-9e8a-10a3c4b744d9','REGION','Тыва Респ','36c63f1e-a134-4c20-b467-d43297931878'
'61258fff-d0d0-4d11-8867-88b2c49f23a9','REGION','Тюменская обл','36b99bed-40a4-439c-b2a0-2a503fdf4674'
'bd066ed2-743c-46fc-b56f-71c6b6b52997','REGION','Удмуртская Респ','36ae5955-8f9d-402a-9057-e5424996d38b'
'8ee841b4-2b0b-498a-b7f6-a7c6eee1fa6e','REGION','Ульяновская обл','36ae5955-8f9d-402a-9057-e5424996d38b'
'5b8e642b-f9cc-4913-a679-d6389a31f1e8','REGION','Хабаровский край','33819f98-74f9-4088-a668-6f6b787bdbb3'
'84114833-8b29-413f-978a-187c6f816182','REGION','Хакасия Респ','36c63f1e-a134-4c20-b467-d43297931878'
'd3b18379-ea4f-4aae-a6bd-d790fe8052e3','REGION','Ханты-Мансийский Автономный округ - Югра АО','36b99bed-40a4-439c-b2a0-2a503fdf4674'
'4493ec2f-e18a-4f1b-8217-113d15f5c3b1','REGION','Челябинская обл','36b99bed-40a4-439c-b2a0-2a503fdf4674'
'c4a68929-1931-4fcf-8889-4d6d54ba7593','REGION','Чеченская Респ','ea5fed0f-4546-4d72-9337-b9878fd164e6'
'cab95ab9-b92d-48e5-a6b0-0db56966d8bc','REGION','Чувашская Респ','36ae5955-8f9d-402a-9057-e5424996d38b'
'72633d5e-486a-4f5c-856b-4ef8cc9adf18','REGION','Чукотский АО','33819f98-74f9-4088-a668-6f6b787bdbb3'
'692f0fe1-3d5b-4d80-8147-b361a7f13d7a','REGION','Ямало-Ненецкий АО','36b99bed-40a4-439c-b2a0-2a503fdf4674'
'7ca0e9c1-ef34-4710-ba1d-904e2fa97375','REGION','Ярославская обл','389ab3a9-4008-4fea-905b-44f268a2cb71'
'8e649d8b-9a2b-41e3-8c1e-4b4664c1c48c','SUBJECT_AREA','Алексеевский р-н','cf61c4f9-ab7d-4e30-a65e-840cbe0f0061'
'a44d2501-38ac-4c83-82ea-3eb9af19f544','SUBJECT_AREA','Белгород г','cf61c4f9-ab7d-4e30-a65e-840cbe0f0061'
'ac041156-fc56-4a31-9d43-f3ac8b400960','SUBJECT_AREA','Белгородский р-н','cf61c4f9-ab7d-4e30-a65e-840cbe0f0061'
'143a0781-c186-4f31-b451-a2b9abb64278','SUBJECT_AREA','Борисовский р-н','cf61c4f9-ab7d-4e30-a65e-840cbe0f0061'
'7e5ccd4b-7a18-42bc-ba05-3cd548043885','SUBJECT_AREA','Валуйский р-н','cf61c4f9-ab7d-4e30-a65e-840cbe0f0061'
'd7b3fb47-5825-41fe-affe-bfd71eb9080e','SUBJECT_AREA','Вейделевский р-н','cf61c4f9-ab7d-4e30-a65e-840cbe0f0061'
'81432a6e-5b27-4986-b2de-1d5cbc892950','SUBJECT_AREA','Волоконовский р-н','cf61c4f9-ab7d-4e30-a65e-840cbe0f0061'
'69d90d98-f6f1-4d3d-8cfe-978eaf275c2a','SUBJECT_AREA','Грайворонский р-н','cf61c4f9-ab7d-4e30-a65e-840cbe0f0061'
'bf417039-38c0-4d22-af62-6f9ba5bde6b5','SUBJECT_AREA','Губкин г','cf61c4f9-ab7d-4e30-a65e-840cbe0f0061'
'72fc6d4d-b12c-48e3-bb32-991264eec3a1','SUBJECT_AREA','Губкинский р-н','cf61c4f9-ab7d-4e30-a65e-840cbe0f0061'
'2be2e0fa-5e3d-468a-b373-0cdd600d9333','SUBJECT_AREA','Ивнянский р-н','cf61c4f9-ab7d-4e30-a65e-840cbe0f0061'
'd063022c-facb-42f4-a534-f32aec43c015','SUBJECT_AREA','Корочанский р-н','cf61c4f9-ab7d-4e30-a65e-840cbe0f0061'
'58dcc338-3a2d-48e5-bf06-3ff706963acd','SUBJECT_AREA','Красненский р-н','cf61c4f9-ab7d-4e30-a65e-840cbe0f0061'
'2a054cc4-f473-43ea-923d-c3be34189d61','SUBJECT_AREA','Красногвардейский р-н','cf61c4f9-ab7d-4e30-a65e-840cbe0f0061'
'62b719e0-f8bc-4da7-b9d6-81b360536567','SUBJECT_AREA','Краснояружский р-н','cf61c4f9-ab7d-4e30-a65e-840cbe0f0061'
'c482d47d-e933-4ded-aa4d-76e580d287e8','SUBJECT_AREA','Новооскольский р-н','cf61c4f9-ab7d-4e30-a65e-840cbe0f0061'
'd7f21f36-119b-4754-86dc-4d589d65edf5','SUBJECT_AREA','Прохоровский р-н','cf61c4f9-ab7d-4e30-a65e-840cbe0f0061'
'9df5a6d3-5710-4437-bb41-329e88708546','SUBJECT_AREA','Ракитянский р-н','cf61c4f9-ab7d-4e30-a65e-840cbe0f0061'
'4c3296a4-b5a3-47d1-8a5f-0fa07c980f71','SUBJECT_AREA','Ровеньский р-н','cf61c4f9-ab7d-4e30-a65e-840cbe0f0061'
